sensor,strain,f,dCp
A,0,1000,0
A,0,1028.13038132378,0
A,0,1057.05208100098,0
A,0,1086.78735911864,0
A,0,1117.35910194851,0
A,0,1148.79083956192,0
A,0,1181.10676394006,0
A,0,1214.33174759379,0
A,0,1248.49136270718,0
A,0,1283.61190081958,0
A,0,1319.72039306138,0
A,0,1356.84463095896,0
A,0,1395.01318782496,0
A,0,1434.25544075018,0
A,0,1474.60159321419,0
A,0,1516.08269833196,0
A,0,1558.73068275443,0
A,0,1602.57837124138,0
A,0,1647.65951192565,0
A,0,1694.00880228787,0
A,0,1741.66191586207,0
A,0,1790.65552969238,0
A,0,1841.02735256216,0
A,0,1892.81615401724,0
A,0,1946.06179420556,0
A,0,2000.80525455621,0
A,0,2057.0886693215,0
A,0,2114.95535800634,0
A,0,2174.44985870983,0
A,0,2235.61796240478,0
A,0,2298.50674818152,0
A,0,2363.16461948315,0
A,0,2429.64134136008,0
A,0,2497.98807877256,0
A,0,2568.25743597069,0
A,0,2640.50349698218,0
A,0,2714.78186723907,0
A,0,2791.14971637539,0
A,0,2869.66582222879,0
A,0,2950.39061607991,0
A,0,3033.38622916434,0
A,0,3118.71654049304,0
A,0,3206.44722601789,0
A,0,3296.64580918035,0
A,0,3389.38171288204,0
A,0,3484.72631291726,0
A,0,3582.75299290863,0
A,0,3683.53720078807,0
A,0,3787.15650686657,0
A,0,3893.69066353757,0
A,0,4003.22166665972,0
A,0,4115.83381866648,0
A,0,4231.61379345088,0
A,0,4350.65070307563,0
A,0,4473.03616635972,0
A,0,4598.86437939448,0
A,0,4728.2321880432,0
A,0,4861.23916248023,0
A,0,4997.98767382689,0
A,0,5138.5829729432,0
A,0,5283.13327143598,0
A,0,5431.74982494583,0
A,0,5584.54701877694,0
A,0,5741.64245593572,0
A,0,5903.15704764599,0
A,0,6069.21510641044,0
A,0,6239.94444168982,0
A,0,6415.47645827376,0
A,0,6595.94625741874,0
A,0,6781.4927408311,0
A,0,6972.25871757512,0
A,0,7168.39101398857,0
A,0,7370.04058669003,0
A,0,7577.36263876536,0
A,0,7790.5167392224,0
A,0,8009.66694580603,0
A,0,8234.98193126803,0
A,0,8466.63511318904,0
A,0,8704.80478745237,0
A,0,8949.67426547247,0
A,0,9201.43201528384,0
A,0,9460.27180659862,0
A,0,9726.39285994485,0
A,0,10000,0
A,0,10281.3038132378,0
A,0,10570.5208100098,0
A,0,10867.8735911864,0
A,0,11173.5910194851,0
A,0,11487.9083956192,0
A,0,11811.0676394006,0
A,0,12143.3174759379,0
A,0,12484.9136270718,0
A,0,12836.1190081958,0
A,0,13197.2039306137,0
A,0,13568.4463095896,0
A,0,13950.1318782496,0
A,0,14342.5544075018,0
A,0,14746.0159321419,0
A,0,15160.8269833196,0
A,0,15587.3068275442,0
A,0,16025.7837124138,0
A,0,16476.5951192565,0
A,0,16940.0880228787,0
A,0,17416.6191586207,0
A,0,17906.5552969238,0
A,0,18410.2735256216,0
A,0,18928.1615401724,0
A,0,19460.6179420556,0
A,0,20008.0525455621,0
A,0,20570.886693215,0
A,0,21149.5535800634,0
A,0,21744.4985870983,0
A,0,22356.1796240478,0
A,0,22985.0674818152,0
A,0,23631.6461948315,0
A,0,24296.4134136007,0
A,0,24979.8807877256,0
A,0,25682.5743597069,0
A,0,26405.0349698218,0
A,0,27147.8186723907,0
A,0,27911.4971637539,0
A,0,28696.6582222879,0
A,0,29503.9061607991,0
A,0,30333.8622916434,0
A,0,31187.1654049304,0
A,0,32064.4722601789,0
A,0,32966.4580918035,0
A,0,33893.8171288203,0
A,0,34847.2631291726,0
A,0,35827.5299290863,0
A,0,36835.3720078807,0
A,0,37871.5650686657,0
A,0,38936.9066353757,0
A,0,40032.2166665973,0
A,0,41158.3381866649,0
A,0,42316.1379345088,0
A,0,43506.5070307563,0
A,0,44730.3616635972,0
A,0,45988.6437939448,0
A,0,47282.3218804319,0
A,0,48612.3916248023,0
A,0,49979.8767382689,0
A,0,51385.829729432,0
A,0,52831.3327143598,0
A,0,54317.4982494583,0
A,0,55845.4701877694,0
A,0,57416.4245593571,0
A,0,59031.5704764599,0
A,0,60692.1510641044,0
A,0,62399.4444168982,0
A,0,64154.7645827376,0
A,0,65959.4625741873,0
A,0,67814.9274083109,0
A,0,69722.5871757512,0
A,0,71683.9101398857,0
A,0,73700.4058669003,0
A,0,75773.6263876537,0
A,0,77905.1673922241,0
A,0,80096.6694580602,0
A,0,82349.8193126803,0
A,0,84666.3511318904,0
A,0,87048.0478745237,0
A,0,89496.7426547248,0
A,0,92014.3201528383,0
A,0,94602.7180659861,0
A,0,97263.9285994485,0
A,0,100000,0
A,0,102813.038132378,0
A,0,105705.208100098,0
A,0,108678.735911864,0
A,0,111735.910194851,0
A,0,114879.083956192,0
A,0,118110.676394006,0
A,0,121433.174759379,0
A,0,124849.136270718,0
A,0,128361.190081958,0
A,0,131972.039306137,0
A,0,135684.463095896,0
A,0,139501.318782496,0
A,0,143425.544075018,0
A,0,147460.159321419,0
A,0,151608.269833196,0
A,0,155873.068275443,0
A,0,160257.837124138,0
A,0,164765.951192565,0
A,0,169400.880228787,0
A,0,174166.191586207,0
A,0,179065.552969238,0
A,0,184102.735256216,0
A,0,189281.615401724,0
A,0,194606.179420556,0
A,0,200080.525455621,0
A,0,205708.86693215,0
A,0,211495.535800634,0
A,0,217444.985870983,0
A,0,223561.796240478,0
A,0,229850.674818152,0
A,0,236316.461948315,0
A,0,242964.134136007,0
A,0,249798.807877256,0
A,0,256825.743597069,0
A,0,264050.349698218,0
A,0,271478.186723907,0
A,0,279114.971637539,0
A,0,286966.582222879,0
A,0,295039.061607991,0
A,0,303338.622916434,0
A,0,311871.654049304,0
A,0,320644.722601789,0
A,0,329664.580918035,0
A,0,338938.171288203,0
A,0,348472.631291726,0
A,0,358275.299290863,0
A,0,368353.720078807,0
A,0,378715.650686657,0
A,0,389369.066353757,0
A,0,400322.166665973,0
A,0,411583.381866649,0
A,0,423161.379345088,0
A,0,435065.070307563,0
A,0,447303.616635972,0
A,0,459886.437939447,0
A,0,472823.21880432,0
A,0,486123.916248023,0
A,0,499798.767382689,0
A,0,513858.29729432,0
A,0,528313.327143598,0
A,0,543174.982494583,0
A,0,558454.701877694,0
A,0,574164.245593572,0
A,0,590315.704764599,0
A,0,606921.510641044,0
A,0,623994.444168982,0
A,0,641547.645827375,0
A,0,659594.625741873,0
A,0,678149.274083109,0
A,0,697225.871757512,0
A,0,716839.101398857,0
A,0,737004.058669003,0
A,0,757736.263876537,0
A,0,779051.673922241,0
A,0,800966.694580603,0
A,0,823498.193126803,0
A,0,846663.511318904,0
A,0,870480.478745237,0
A,0,894967.426547246,0
A,0,920143.201528383,0
A,0,946027.180659861,0
A,0,972639.285994485,0
A,0,1000000,0
A,0.1,1000,3.79769315067654e-12
A,0.1,1028.13038132378,3.79772327265304e-12
A,0.1,1057.05208100098,3.79775511128134e-12
A,0.1,1086.78735911864,3.79778876428047e-12
A,0.1,1117.35910194851,3.79782433492007e-12
A,0.1,1148.79083956192,3.79786193233109e-12
A,0.1,1181.10676394006,3.79790167183938e-12
A,0.1,1214.33174759379,3.79794367531432e-12
A,0.1,1248.49136270718,3.79798807153781e-12
A,0.1,1283.61190081958,3.79803499659591e-12
A,0.1,1319.72039306138,3.79808459428557e-12
A,0.1,1356.84463095896,3.79813701655538e-12
A,0.1,1395.01318782496,3.79819242395753e-12
A,0.1,1434.25544075018,3.7982509861369e-12
A,0.1,1474.60159321419,3.79831288233648e-12
A,0.1,1516.08269833196,3.79837830194017e-12
A,0.1,1558.73068275443,3.79844744503937e-12
A,0.1,1602.57837124138,3.7985205230323e-12
A,0.1,1647.65951192565,3.79859775925602e-12
A,0.1,1694.00880228787,3.79867938965552e-12
A,0.1,1741.66191586207,3.79876566348313e-12
A,0.1,1790.65552969238,3.79885684404609e-12
A,0.1,1841.02735256216,3.79895320948084e-12
A,0.1,1892.81615401724,3.79905505358565e-12
A,0.1,1946.06179420556,3.79916268668145e-12
A,0.1,2000.80525455621,3.79927643653293e-12
A,0.1,2057.0886693215,3.79939664930986e-12
A,0.1,2114.95535800634,3.79952369060259e-12
A,0.1,2174.44985870983,3.79965794649504e-12
A,0.1,2235.61796240478,3.79979982468637e-12
A,0.1,2298.50674818152,3.79994975568053e-12
A,0.1,2363.16461948315,3.80010819403068e-12
A,0.1,2429.64134136008,3.80027561965574e-12
A,0.1,2497.98807877256,3.80045253921563e-12
A,0.1,2568.25743597069,3.80063948756728e-12
A,0.1,2640.50349698218,3.80083702928836e-12
A,0.1,2714.78186723907,3.80104576028174e-12
A,0.1,2791.14971637539,3.80126630945682e-12
A,0.1,2869.66582222879,3.80149934050047e-12
A,0.1,2950.39061607991,3.80174555373191e-12
A,0.1,3033.38622916434,3.80200568804761e-12
A,0.1,3118.71654049304,3.80228052296256e-12
A,0.1,3206.44722601789,3.80257088075229e-12
A,0.1,3296.64580918035,3.80287762868849e-12
A,0.1,3389.38171288204,3.80320168138632e-12
A,0.1,3484.72631291726,3.80354400325899e-12
A,0.1,3582.75299290863,3.80390561108061e-12
A,0.1,3683.53720078807,3.80428757666336e-12
